sample,weight,weight_wash1,weight_wash2,weight_wash3,weight_avg,caffeine_wash1,caffeine_wash2,caffeine_wash3,caffeine_calc,thephyl_wash1,thephyl_wash2,thephyl_wash3,thyephyl_calc,cotinine_wash1,cotinine_wash2,cotinine_wash3,cotinine_calc,nicotine_wash1,nicotine_wash2,nicotine_wash3,nicotine_calc,salicyl_wash1,salicyl_wash2,salicyl_wash3,salicyl_calc,thca-a_wash1,thca-a_wash2,thca-a_wash3,thca-a_calc,cbn_wash1,cbn_wash2,cbn_wash3,cbn_calc,thcva_wash1,thcva_wash2,thcva_wash3,thcva_calc,thc_wash1,thc_wash2,thc_wash3,thc_calc,cbd_wash1,cbd_wash2,cbd_wash3,cbd_calc,cocaine_wash1,cocaine_wash2,cocaine_wash3,cocaine_calculus
28,30.9999999999999,31.2999999999999,30.6999999999999,30.6,30.8999999999999,0.6672,0.3633,0.14015,0.1086,0.04695,0.0122,NA,0.0198,NA,NA,NA,NA,0.10805,NA,NA,NA,0.983,NA,NA,40.47935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,22.8999999999999,22.8999999999999,22.6,22.5,22.7249999999999,0.4376,0.1891,0.07335,0.13045,0.02295,NA,NA,0.01125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,25.6000000000001,25.6000000000001,25.3000000000001,25.3000000000001,25.4500000000001,0.0818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0555
31,20.1,19.9,19.5000000000001,19.9,19.85,1.2549,0.5339,0.18235,0.24795,0.06305,0.0221,NA,0.02045,NA,NA,NA,NA,NA,NA,NA,NA,0.6584,NA,NA,29.0748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,42.3,41.8000000000001,41.5999999999999,41.3999999999999,41.775,4.2993,1.3468,0.44665,0.73065,0.03935,0.012,NA,0.02395,0.1317,0.07015,0.11885,1.2757,0.16145,NA,0.4605,7.77175,NA,NA,NA,16.8248,NA,NA,NA,0.1088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1524
33,22.5,22.6,21.9,22.1,22.275,0.3181,0.1108,0.05425,0.14375,0.01435,NA,NA,NA,NA,NA,NA,0.2864,NA,NA,NA,2.13035,NA,NA,NA,9.9754,NA,NA,NA,5.1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0379
34,27.3999999999999,27.4999999999999,26.8999999999999,26.9999999999999,27.1999999999999,0.2031,0.0677,NA,0.07395,0.01075,NA,NA,NA,NA,NA,NA,0.0535,NA,NA,NA,0.11765,NA,NA,NA,25.8415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3514
35,36.3,36.1,35.7000000000001,36.1,36.05,1.04,0.4933,0.20925,0.17415,0.05825,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6638,NA,NA,13.1258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,17.6000000000001,17.5000000000001,17.1000000000001,17.4000000000001,17.4000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2057,NA,NA,NA,0.73345,NA,NA,NA,7.8521,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,31.1999999999999,30.9999999999999,30.6,30.6999999999999,30.8749999999999,0.102,NA,NA,0.08455,NA,NA,NA,0.02055,NA,NA,NA,NA,NA,NA,NA,0.12545,NA,NA,NA,35.3255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,30.4,30.2,29.8999999999998,29.7999999999998,30.0749999999999,0.0683,NA,NA,0.09295,NA,NA,NA,NA,0.05,NA,NA,0.2295,0.13165,NA,NA,1.42925,0.6924,NA,NA,21.4724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,18.1,18.2,17.9,17.9,18.025,0.1775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2547,NA,NA,NA,NA,NA,NA,NA,0.1038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1505
40,18.2,18.1,17.1999999999999,17.4999999999999,17.75,0.5881,0.3212,0.11075,0.06675,0.01465,NA,NA,NA,NA,NA,NA,0.0981,NA,NA,NA,0.54805,NA,NA,NA,18.1175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,34.1,34.2,33.4999999999999,33.8000000000001,33.9,0.0944,NA,NA,0.20755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5982,NA,NA,NA,NA,NA,NA,NA,2.9463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4761,NA,NA,NA,NA
42,1.70000000000003,1.1000000000001,0.900000000000123,1.1000000000001,1.20000000000009,0.0667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
