sample,caffeine_wash1_batch1,caffeine_wash2_batch1,caffeine_wash3_batch1,caffeine_calc_batch1,theophyl_wash1_batch1,theophyl_wash2_batch1,theophyl_wash3_batch1,theophyl_calc_batch1,cotinine_wash1_batch1,cotinine_wash2_batch1,cotinine_wash3_batch1,cotinine_calc_batch1,nicotine_wash1_batch1,nicotine_wash2_batch1,nicotine_wash3_batch1,nicotine_calc_batch1,salicyl_wash1_batch1,salicyl_wash2_batch1,salicyl_wash3_batch1,salicyl_calc_batch1,thca-a_wash1_batch1,thca-a_wash2_batch1,thca-a_wash3_batch1,thca-a_calc_batch1,cbn_wash1_batch1,cbn_wash2_batch1,cbn_wash3_batch1,cbn_calc_batch1,thcva_wash1_batch1,thcva_wash2_batch1,thcva_wash3_batch1,thcva_calc_batch1,thc_wash1_batch1,thc_wash2_batch1,thc_wash3_batch1,thc_calc_batch1,cbd_wash1_batch1,cbd_wash2_batch1,cbd_wash3_batch1,cbd_calc_batch1,cocaine_wash1_batch1,cocaine_wash2_batch1,cocaine_wash3_batch1,cocaine_calc_batch1,batch1_weight,caffeine_wash1_batch2,caffeine_wash2_batch2,caffeine_wash3_batch2,caffeine_calc_batch2,theophyl_wash1_batch2,theophyl_wash2_batch2,theophyl_wash3_batch2,theophyl_calc_batch2,cotinine_wash1_batch2,cotinine_wash2_batch2,cotinine_wash3_batch2,cotinine_calc_batch2,nicotine_wash1_batch2,nicotine_wash2_batch2,nicotine_wash3_batch2,nicotine_calc_batch2,salicyl_wash1_batch2,salicyl_wash2_batch2,salicyl_wash3_batch2,salicyl_calc_batch2,thca-a_wash1_batch2,thca-a_wash2_batch2,thca-a_wash3_batch2,thca-a_calc_batch2,cbn_wash1_batch2,cbn_wash2_batch2,cbn_wash3_batch2,cbn_calc_batch2,thcva_wash1_batch2,thcva_wash2_batch2,thcva_wash3_batch2,thcva_calc_batch2,thc_wash1_batch2,thc_wash2_batch2,thc_wash3_batch2,thc_calc_batch2,cbd_wash1_batch2,cbd_wash2_batch2,cbd_wash3_batch2,cbd_calc_batch2,cocaine_wash1_batch2,cocaine_wash2_batch2,cocaine_wash3_batch2,cocaine_calc_batch2,batch2_weight
21,0.2827,0.0925,0,0.4097,0,0,0,0.0249,0.1873,0,0,0.2387,0,0,0,1.59855,0,0,0,11.00105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.825,0.1623,0.1202,0.0219,0.0859888888888889,0,0,0,0,0.151,0.0638,0.0183,0.208,0,0,0,0.7678,FALSE,0.6094,0.1732,10.27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.025
22,0.0951,0,0,0,0,0,0,0,0.0761,0,0,0.2127,0,0,0,0.91335,0,0,0,11.58945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.675,0.0816,0.0164,0.0143,0,0.0045,0,0,0,0.07,0,0.0126,0.1414,0,0,0,0.4748,FALSE,0.2743,0,10.03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5.77500000000001
23,0.0759,0.0541,0,0.0932,0,0,0,0.0125,0,0,0,0.0935,0,0,0,0.71535,0,0,0,18.17245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3,0.0201,0,0,0.0508,0,0,0,0,0,0,0,0.0549,0,0,0,0.2551,FALSE,0.5164,0.2065,3.53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.125
24,0.524,0.3129,0.09485,0.2367,0.03095,0.0108,0,0.0188,0.0719,0.05665,0,2.855,0.11115,0,0,15.96475,0,0,0,20.14145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.7500000000001,0.1412,0.1075,0.0336,0.0628,0.0082,0,0,0,0.0228,0,0,0.1147,0.0101,0,0,0.4599,FALSE,0.2495,0,15.19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.92500000000001
25,0.1481,0.1019,0,0.3915,0,0,0,0,0.0566,0,0,0.3694,0,0,0,1.02325,0,0,0,16.93585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47500000000007,0.05,0.025,0,0.0698,0.0051,0,0,0,0.0133,0,0,0.0332,0,0,0,0,FALSE,0.2206,1.0528,8.96,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.87500000000004
26,0.1378,0.0724,0.06455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.66465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0.1314,0.1129,0.0294,0,0.0072,0.0065,0,0,0,0,0,0,0,0,0,0,FALSE,0.5735,0,17.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.09999999999997
27,0.6526,0.5526,0.20835,0.1298,0.05175,0.0298,0,0,0,0,0,0,0,0,0,0,0,0,0,10.39375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5999999999998,0.1973,0.2389,0.0657,0.1105,0.0165,0.0134,0,0,0,0,0,0,0,0,0,0,FALSE,0.2041,0,8.92,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5.45000000000002
28,0.6672,0.3633,0.14015,0.1086,0.04695,0.0122,0,0.0198,0,0,0,0,0.10805,0,0,0,0.983,0,0,40.47935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.8999999999999,0.0276,0,0,0.0492,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.3232,0,8.39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9.27500000000003
29,0.4376,0.1891,0.07335,0.13045,0.02295,0,0,0.01125,0,0,0,0,0,0,0,0,0,0,0,25.3728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7249999999999,0.206,0.1082,0.0315,0.1334,0.0132,0.0051,0,0,0,0,0,0,0,0,0,0,FALSE,0.5156,0,13.28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.97500000000003
30,0.0818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.1796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555,25.4500000000001,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.2908,0.1506,9.59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.37499999999999
